time (yyyy-MM-dd'T'HH:mm:ss),observed_flux (solar flux unit (SFU)),adjusted_flux (solar flux unit (SFU))
1947-01-01T16:48:00,0.0,0.0
1947-01-02T16:48:00,0.0,0.0
1947-01-03T16:48:00,0.0,0.0
1947-01-04T16:48:00,0.0,0.0
1947-01-05T16:48:00,0.0,0.0
1947-01-06T16:48:00,0.0,0.0
1947-01-07T16:48:00,0.0,0.0
1947-01-08T16:48:00,0.0,0.0
1947-01-09T16:48:00,0.0,0.0
1947-01-10T16:48:00,0.0,0.0
1947-01-11T16:48:00,0.0,0.0
1947-01-12T16:48:00,0.0,0.0
1947-01-13T16:48:00,0.0,0.0
1947-01-14T16:48:00,0.0,0.0
1947-01-15T16:48:00,0.0,0.0
1947-01-16T16:48:00,0.0,0.0
1947-01-17T16:48:00,0.0,0.0
1947-01-18T16:48:00,0.0,0.0
1947-01-19T16:48:00,0.0,0.0
1947-01-20T16:48:00,0.0,0.0
1947-01-21T16:48:00,0.0,0.0
1947-01-22T16:48:00,0.0,0.0
1947-01-23T16:48:00,0.0,0.0
1947-01-24T16:48:00,0.0,0.0
1947-01-25T16:48:00,0.0,0.0
1947-01-26T16:48:00,0.0,0.0
1947-01-27T16:48:00,0.0,0.0
1947-01-28T16:48:00,0.0,0.0
1947-01-29T16:48:00,0.0,0.0
1947-01-30T16:48:00,0.0,0.0
1947-01-31T16:48:00,0.0,0.0
1947-02-01T16:48:00,0.0,0.0
1947-02-02T16:48:00,0.0,0.0
1947-02-03T16:48:00,0.0,0.0
1947-02-04T16:48:00,0.0,0.0
1947-02-05T16:48:00,0.0,0.0
1947-02-06T16:48:00,0.0,0.0
1947-02-07T16:48:00,0.0,0.0
1947-02-08T16:48:00,0.0,0.0
1947-02-09T16:48:00,0.0,0.0
1947-02-10T16:48:00,0.0,0.0
1947-02-11T16:48:00,0.0,0.0
1947-02-12T16:48:00,0.0,0.0
1947-02-13T16:48:00,0.0,0.0
1947-02-14T16:48:00,260.4,254.0
1947-02-15T16:48:00,0.0,0.0
1947-02-16T16:48:00,0.0,0.0
1947-02-17T16:48:00,234.2,228.8
1947-02-18T16:48:00,0.0,0.0
1947-02-19T16:48:00,183.1,179.0
1947-02-20T16:48:00,167.4,163.7
1947-02-21T16:48:00,0.0,0.0
1947-02-22T16:48:00,0.0,0.0
1947-02-23T16:48:00,0.0,0.0
1947-02-24T16:48:00,167.7,164.3
1947-02-25T16:48:00,196.7,192.8
1947-02-26T16:48:00,174.6,171.2
1947-02-27T16:48:00,0.0,0.0
1947-02-28T16:48:00,237.9,233.5
1947-03-01T16:48:00,0.0,0.0
1947-03-02T16:48:00,0.0,0.0
1947-03-03T16:48:00,0.0,0.0
1947-03-04T16:48:00,0.0,0.0
1947-03-05T16:48:00,311.1,306.1
1947-03-06T16:48:00,310.7,305.9
1947-03-07T16:48:00,326.2,321.3
1947-03-08T16:48:00,350.5,345.4
1947-03-09T16:48:00,0.0,0.0
1947-03-10T16:48:00,330.2,325.8
1947-03-11T16:48:00,307.3,303.3
1947-03-12T16:48:00,309.0,305.2
1947-03-13T16:48:00,363.9,359.6
1947-03-14T16:48:00,270.1,267.1
1947-03-15T16:48:00,225.5,223.1
1947-03-16T16:48:00,0.0,0.0
1947-03-17T16:48:00,181.4,179.7
1947-03-18T16:48:00,158.5,157.1
1947-03-19T16:48:00,142.2,141.0
1947-03-20T16:48:00,142.2,141.1
1947-03-21T16:48:00,150.8,149.7
1947-03-22T16:48:00,160.2,159.1
1947-03-23T16:48:00,0.0,0.0
1947-03-24T16:48:00,165.3,164.4
1947-03-25T16:48:00,161.5,160.7
1947-03-26T16:48:00,182.5,181.7
1947-03-27T16:48:00,195.1,194.3
1947-03-28T16:48:00,199.8,199.1
1947-03-29T16:48:00,227.4,226.8
1947-03-30T16:48:00,227.4,226.9
1947-03-31T16:48:00,258.5,258.1
1947-04-01T16:48:00,252.5,252.2
1947-04-02T16:48:00,261.1,261.0
1947-04-03T16:48:00,302.0,302.0
1947-04-04T16:48:00,296.4,296.6
1947-04-05T16:48:00,347.2,347.6
1947-04-06T16:48:00,0.0,0.0
1947-04-07T16:48:00,457.0,458.1
1947-04-08T16:48:00,423.8,425.0
1947-04-09T16:48:00,356.5,357.7
1947-04-10T16:48:00,334.8,336.2
1947-04-11T16:48:00,298.6,300.0
1947-04-12T16:48:00,234.4,235.6
1947-04-13T16:48:00,0.0,0.0
1947-04-14T16:48:00,168.0,169.1
1947-04-15T16:48:00,0.0,0.0
1947-04-16T16:48:00,0.0,0.0
1947-04-17T16:48:00,156.8,158.1
1947-04-18T16:48:00,158.5,159.9
1947-04-19T16:48:00,153.8,155.2
1947-04-20T16:48:00,0.0,0.0
1947-04-21T16:48:00,157.6,159.2
1947-04-22T16:48:00,165.4,167.2
1947-04-23T16:48:00,186.9,189.0
1947-04-24T16:48:00,226.8,229.5
1947-04-25T16:48:00,237.6,240.6
1947-04-26T16:48:00,296.6,300.4
1947-04-27T16:48:00,0.0,0.0
1947-04-28T16:48:00,281.5,285.4
1947-04-29T16:48:00,294.0,298.3
1947-04-30T16:48:00,291.8,296.2
1947-05-01T16:48:00,258.7,262.7
1947-05-02T16:48:00,265.1,269.3
1947-05-03T16:48:00,272.4,276.9
1947-05-04T16:48:00,0.0,0.0
1947-05-05T16:48:00,262.5,267.1
1947-05-06T16:48:00,219.5,223.5
1947-05-07T16:48:00,235.8,240.2
1947-05-08T16:48:00,226.3,230.6
1947-05-09T16:48:00,220.3,224.6
1947-05-10T16:48:00,221.6,226.0
1947-05-11T16:48:00,0.0,0.0
1947-05-12T16:48:00,235.4,240.3
1947-05-13T16:48:00,255.7,261.2
1947-05-14T16:48:00,191.1,195.3
1947-05-15T16:48:00,181.9,185.9
1947-05-16T16:48:00,230.4,235.6
1947-05-17T16:48:00,234.3,239.7
1947-05-18T16:48:00,0.0,0.0
1947-05-19T16:48:00,247.6,253.5
1947-05-20T16:48:00,282.4,289.3
1947-05-21T16:48:00,328.0,336.1
1947-05-22T16:48:00,293.6,301.0
1947-05-23T16:48:00,327.6,336.0
1947-05-24T16:48:00,0.0,0.0
1947-05-25T16:48:00,0.0,0.0
1947-05-26T16:48:00,299.6,307.6
1947-05-27T16:48:00,293.6,301.5
1947-05-28T16:48:00,337.5,346.7
1947-05-29T16:48:00,326.7,335.7
1947-05-30T16:48:00,289.3,297.4
1947-05-31T16:48:00,253.6,260.7
1947-06-01T16:48:00,0.0,0.0
1947-06-02T16:48:00,252.7,260.0
1947-06-03T16:48:00,219.1,225.5
1947-06-04T16:48:00,214.8,221.1
1947-06-05T16:48:00,214.8,221.2
1947-06-06T16:48:00,210.5,216.8
1947-06-07T16:48:00,237.6,244.8
1947-06-08T16:48:00,0.0,0.0
1947-06-09T16:48:00,0.0,0.0
1947-06-10T16:48:00,239.3,246.7
1947-06-11T16:48:00,182.6,188.3
1947-06-12T16:48:00,146.5,151.1
1947-06-13T16:48:00,170.1,175.5
1947-06-14T16:48:00,171.0,176.4
1947-06-15T16:48:00,0.0,0.0
1947-06-16T16:48:00,177.9,183.6
1947-06-17T16:48:00,208.4,215.2
1947-06-18T16:48:00,250.9,259.1
1947-06-19T16:48:00,278.0,287.1
1947-06-20T16:48:00,270.3,279.2
1947-06-21T16:48:00,287.0,296.5
1947-06-22T16:48:00,0.0,0.0
1947-06-23T16:48:00,282.3,291.7
1947-06-24T16:48:00,258.2,266.8
1947-06-25T16:48:00,261.7,270.4
1947-06-26T16:48:00,234.6,242.4
1947-06-27T16:48:00,220.0,227.4
1947-06-28T16:48:00,244.5,252.7
1947-06-29T16:48:00,0.0,0.0
1947-06-30T16:48:00,205.8,212.7
1947-07-01T16:48:00,0.0,0.0
1947-07-02T16:48:00,194.5,201.1
1947-07-03T16:48:00,196.2,202.8
1947-07-04T16:48:00,203.6,210.5
1947-07-05T16:48:00,197.5,204.2
1947-07-06T16:48:00,0.0,0.0
1947-07-07T16:48:00,209.6,216.7
1947-07-08T16:48:00,198.8,205.5
1947-07-09T16:48:00,195.0,201.6
1947-07-10T16:48:00,204.4,211.3
1947-07-11T16:48:00,210.9,218.0
1947-07-12T16:48:00,204.4,211.2
1947-07-13T16:48:00,0.0,0.0
1947-07-14T16:48:00,216.4,223.6
1947-07-15T16:48:00,225.9,233.4
1947-07-16T16:48:00,259.4,268.0
1947-07-17T16:48:00,271.0,280.0
1947-07-18T16:48:00,251.7,260.0
1947-07-19T16:48:00,254.3,262.6
1947-07-20T16:48:00,0.0,0.0
1947-07-21T16:48:00,244.4,252.3
1947-07-22T16:48:00,256.4,264.7
1947-07-23T16:48:00,237.5,245.1
1947-07-24T16:48:00,236.6,244.1
1947-07-25T16:48:00,201.8,208.2
1947-07-26T16:48:00,202.3,208.7
1947-07-27T16:48:00,0.0,0.0
1947-07-28T16:48:00,164.0,169.1
1947-07-29T16:48:00,170.0,175.2
1947-07-30T16:48:00,176.5,181.9
1947-07-31T16:48:00,212.2,218.6
1947-08-01T16:48:00,216.7,223.2
1947-08-02T16:48:00,231.3,238.2
1947-08-03T16:48:00,0.0,0.0
1947-08-04T16:48:00,244.6,251.7
1947-08-05T16:48:00,241.6,248.6
1947-08-06T16:48:00,252.8,260.0
1947-08-07T16:48:00,296.1,304.5
1947-08-08T16:48:00,290.1,298.2
1947-08-09T16:48:00,307.7,316.2
1947-08-10T16:48:00,0.0,0.0
1947-08-11T16:48:00,315.0,323.5
1947-08-12T16:48:00,319.7,328.2
1947-08-13T16:48:00,294.4,302.2
1947-08-14T16:48:00,296.5,304.2
1947-08-15T16:48:00,272.0,279.0
1947-08-16T16:48:00,228.5,234.3
1947-08-17T16:48:00,0.0,0.0
1947-08-18T16:48:00,203.2,208.2
1947-08-19T16:48:00,192.4,197.0
1947-08-20T16:48:00,175.6,179.8
1947-08-21T16:48:00,161.0,164.7
1947-08-22T16:48:00,155.9,159.5
1947-08-23T16:48:00,151.6,155.0
1947-08-24T16:48:00,0.0,0.0
1947-08-25T16:48:00,153.3,156.6
1947-08-26T16:48:00,175.6,179.3
1947-08-27T16:48:00,186.4,190.2
1947-08-28T16:48:00,195.8,199.7
1947-08-29T16:48:00,209.6,213.7
1947-08-30T16:48:00,244.0,248.7
1947-08-31T16:48:00,0.0,0.0
1947-09-01T16:48:00,0.0,0.0
1947-09-02T16:48:00,259.5,264.1
1947-09-03T16:48:00,234.6,238.6
1947-09-04T16:48:00,231.6,235.5
1947-09-05T16:48:00,227.3,231.0
1947-09-06T16:48:00,231.6,235.2
1947-09-07T16:48:00,0.0,0.0
1947-09-08T16:48:00,229.9,233.3
1947-09-09T16:48:00,219.4,222.5
1947-09-10T16:48:00,227.3,230.4
1947-09-11T16:48:00,185.1,187.5
1947-09-12T16:48:00,181.2,183.5
1947-09-13T16:48:00,198.4,200.8
1947-09-14T16:48:00,0.0,0.0
1947-09-15T16:48:00,168.0,169.9
1947-09-16T16:48:00,159.4,161.1
1947-09-17T16:48:00,158.1,159.7
1947-09-18T16:48:00,159.8,161.3
1947-09-19T16:48:00,156.4,157.8
1947-09-20T16:48:00,147.2,148.4
1947-09-21T16:48:00,0.0,0.0
1947-09-22T16:48:00,156.0,157.1
1947-09-23T16:48:00,183.6,184.8
1947-09-24T16:48:00,218.2,219.5
1947-09-25T16:48:00,218.2,219.4
1947-09-26T16:48:00,208.2,209.2
1947-09-27T16:48:00,200.9,201.8
1947-09-28T16:48:00,0.0,0.0
1947-09-29T16:48:00,204.8,205.4
1947-09-30T16:48:00,228.1,228.7
1947-10-01T16:48:00,204.1,204.5
1947-10-02T16:48:00,0.0,0.0
1947-10-03T16:48:00,249.5,249.7
1947-10-04T16:48:00,271.6,271.7
1947-10-05T16:48:00,0.0,0.0
1947-10-06T16:48:00,238.3,238.1
1947-10-07T16:48:00,243.4,243.0
1947-10-08T16:48:00,236.8,236.3
1947-10-09T16:48:00,227.3,226.7
1947-10-10T16:48:00,213.5,212.8
1947-10-11T16:48:00,203.0,202.2
1947-10-12T16:48:00,196.2,195.4
1947-10-13T16:48:00,0.0,0.0
1947-10-14T16:48:00,160.7,159.8
1947-10-15T16:48:00,152.2,151.3
1947-10-16T16:48:00,162.1,161.0
1947-10-17T16:48:00,168.7,167.5
1947-10-18T16:48:00,152.2,151.0
1947-10-19T16:48:00,0.0,0.0
1947-10-20T16:48:00,193.3,191.6
1947-10-21T16:48:00,192.8,191.0
1947-10-22T16:48:00,215.6,213.5
1947-10-23T16:48:00,233.4,230.9
1947-10-24T16:48:00,239.8,237.1
1947-10-25T16:48:00,239.8,237.0
1947-10-26T16:48:00,0.0,0.0
1947-10-27T16:48:00,229.0,226.1
1947-10-28T16:48:00,216.0,213.1
1947-10-29T16:48:00,201.3,198.5
1947-10-30T16:48:00,200.9,198.0
1947-10-31T16:48:00,193.9,191.0
1947-11-01T16:48:00,190.9,188.0
1947-11-02T16:48:00,0.0,0.0
1947-11-03T16:48:00,156.2,153.6
1947-11-04T16:48:00,147.6,145.1
1947-11-05T16:48:00,148.8,146.2
1947-11-06T16:48:00,135.3,132.9
1947-11-07T16:48:00,134.0,131.6
1947-11-08T16:48:00,0.0,0.0
1947-11-09T16:48:00,0.0,0.0
1947-11-10T16:48:00,136.4,133.7
1947-11-11T16:48:00,0.0,0.0
1947-11-12T16:48:00,159.8,156.5
1947-11-13T16:48:00,165.9,162.4
1947-11-14T16:48:00,171.6,167.9
1947-11-15T16:48:00,192.0,187.8
1947-11-16T16:48:00,0.0,0.0
1947-11-17T16:48:00,179.3,175.2
1947-11-18T16:48:00,189.3,184.9
1947-11-19T16:48:00,199.8,195.1
1947-11-20T16:48:00,202.0,197.1
1947-11-21T16:48:00,213.7,208.5
1947-11-22T16:48:00,217.0,211.6
1947-11-23T16:48:00,221.8,216.2
